,,,,,,,,,,,,,,,,
,,,,,,单位:绵阳港华（合并）,,,,,,,,,,
,,,,,,资产负债表,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,会计月:2024-12,,,,,,,,,,
,（单位: 千元）,,,,,,,,,,,,,,,
,国内版,国内版,国内版,,项                    目,项                    目,,港版调整,港版调整,港版调整,,香港版,香港版,香港版,,
,上月结存,本月变动,本月结存,,项                    目,项                    目,,上月结存,本月变动,本月结存,,上月结存,本月变动,本月结存,,
BS1,,,,,BS1 ,非流动资产 ,,,,,,,,,,
,,"2,046.43","2,046.43",,BS204,其他流动资产,,,,,,,"2,046.43","2,046.43",,
,,,,,BS20401,交易性金融资产,,,,,,,,,,
,,"2,046.43","2,046.43",,BS20402,持有待售资产,,,,,,,"2,046.43","2,046.43",,
,,,,,,,,,,,,,,,,
,,,,,BS205,共同类(衍生工具、套期项目、被套期项目),,,,,,,,,,
,,,,,BS20501,衍生工具,,,,,,,,,,
,,,,,BS20502,套期工具,,,,,,,,,,
,,,,,BS20503,被套期项目,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,BS206,合同资产,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"248,992.19","-44,914.19","204,078.00",,,流动资产小记,,,,,,"248,992.19","-44,914.19","204,078.00",,
,,,,,,,,,,,,,,,,
,,,,,BS3,流动负债,,,,,,,,,,
,"-94,885.96","-22,236.82","-117,122.79",,BS301,贸易及其他应付账款,,"2,419.80","6,243.80","8,663.60",,"-92,466.16","-15,993.02","-108,459.18",,
,"-59,255.24","23,455.21","-35,800.03",,BS3010101,貿易應付賬款,,,"6,306.20","6,306.20",,"-59,255.24","29,761.41","-29,493.83",,
,"-31,718.16","-41,875.83","-73,594.00",,BS3010102,其他应付款,,"2,419.80",-62.40,"2,357.40",,"-29,298.36","-41,938.23","-71,236.60",,
,"-2,537.35","-1,698.36","-4,235.71",,BS3010103,其他应付税,,,,,,"-2,537.35","-1,698.36","-4,235.71",,
,,,,,BS3010104,应付利息,,,,,,,,,,
,,"-1,629.90","-1,629.90",,BS3010105,预收账款 ,,,,,,,"-1,629.90","-1,629.90",,
,"-1,375.21",-487.94,"-1,863.15",,BS3010106,内部往来,,,,,,"-1,375.21",-487.94,"-1,863.15",,
,,,,,BS3010201,预提费用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"-1,508.83",-779.22,"-2,288.05",,BS302,应付所得税,,,,,,"-1,508.83",-779.22,"-2,288.05",,
,"-1,508.83",-779.22,"-2,288.05",,BS30201,应付所得税,,,,,,"-1,508.83",-779.22,"-2,288.05",,
,,,,,,,,,,,,,,,,
